"subject","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice","drop_marker","indecision_trial","accuracy_type","selection_rt_ms_relative","accuracy_numeric"
27,"2021_Oct_13_1358","0 days 00:11:32.507084000",17,2,0.739987099994323,20101.119,"line",2,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,7,"False","27_17",0,"hit",2669.42,1
27,"2021_Oct_13_1358","0 days 00:11:36.510671000",17,3,0.739987099994323,24104.706,"line",2,-106.894850610438,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_left","back_slash","selected",NA,7,"False","27_17",0,"hit",4003.587,1
27,"2021_Oct_13_1358","0 days 00:12:26.326621000",19,1,2.10689450000064,7687.879,"line",1.6667,-204.596567073625,400,-204.596567073625,280,"r0c0_right","vertical","selected",NA,3,"False","27_19",0,"hit",7687.879,1
27,"2021_Oct_13_1358","0 days 00:12:36.656296000",19,2,2.10689450000064,18017.554,"line",1.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,3,"False","27_19",0,"hit",10329.675,1
27,"2021_Oct_13_1358","0 days 00:12:43.426869000",19,3,2.10689450000064,24788.127,"line",2,-302.298283536813,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_left","back_slash","selected",NA,3,"False","27_19",0,"false_alarm",6770.573,0
27,"2021_Oct_13_1358","0 days 00:13:35.562168000",22,1,0.314595699994243,3099.778,"line",1,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,3,"False","27_22",0,"hit",3099.778,1
27,"2021_Oct_13_1358","0 days 00:13:41.535933000",22,2,0.314595699994243,9073.543,"line",1.6667,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,3,"False","27_22",0,"false_alarm",5973.765,0
27,"2021_Oct_13_1358","0 days 00:13:43.786945000",22,3,0.314595699994243,11324.555,"line",1.6667,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,3,"False","27_22",0,"false_alarm",2251.012,0
27,"2021_Oct_13_1358","0 days 00:14:27.647817000",24,1,0.770145800008322,2983.107,"line",1.3333,-204.596567073625,280,-106.894850610438,210.326657894522,"r0c1_bottom_left","back_slash","selected",NA,4,"False","27_24",0,"hit",2983.107,1
27,"2021_Oct_13_1358","0 days 00:14:32.669012000",24,2,0.770145800008322,8004.302,"line",1.3333,283.912015242312,90.3266578945223,381.613731705499,20.6533157890446,"r1c3_bottom_left","back_slash","selected",NA,4,"False","27_24",0,"hit",5021.195,1
