"participant","quadrant","count","proportion"
10,"y_axis",32,0.0355555555555556
11,"I",32,0.0355555555555556
11,"II",36,0.04
11,"III",26,0.0288888888888889
11,"IV",44,0.0488888888888889
11,"x_axis",60,0.0333333333333333
11,"y_axis",34,0.0377777777777778
12,"I",30,0.0333333333333333
12,"II",33,0.0366666666666667
12,"III",35,0.0388888888888889
12,"IV",38,0.0422222222222222
12,"x_axis",72,0.04
12,"y_axis",40,0.0444444444444444
13,"I",30,0.0333333333333333
13,"II",25,0.0277777777777778
13,"III",24,0.0266666666666667
13,"IV",37,0.0411111111111111
13,"x_axis",69,0.0383333333333333
13,"y_axis",51,0.0566666666666667
14,"I",40,0.0444444444444444
14,"II",44,0.0488888888888889
14,"III",31,0.0344444444444444
14,"IV",27,0.03
14,"x_axis",80,0.0444444444444444
14,"y_axis",33,0.0366666666666667
15,"I",40,0.0444444444444444
15,"II",37,0.0411111111111111
15,"III",44,0.0488888888888889
15,"IV",35,0.0388888888888889
15,"x_axis",69,0.0383333333333333
15,"y_axis",36,0.04
16,"I",34,0.0377777777777778
16,"II",49,0.0544444444444444
16,"III",46,0.0511111111111111
16,"IV",34,0.0377777777777778
16,"x_axis",52,0.0288888888888889
16,"y_axis",34,0.0377777777777778
17,"I",29,0.0322222222222222
17,"II",35,0.0388888888888889
17,"III",32,0.0355555555555556
17,"IV",38,0.0422222222222222
17,"x_axis",75,0.0416666666666667
17,"y_axis",26,0.0288888888888889
18,"I",29,0.0322222222222222
18,"II",41,0.0455555555555556
18,"III",34,0.0377777777777778
18,"IV",29,0.0322222222222222
18,"x_axis",84,0.0466666666666667
18,"y_axis",29,0.0322222222222222
19,"I",44,0.0488888888888889
19,"II",39,0.0433333333333333
19,"III",24,0.0266666666666667
19,"IV",45,0.05
19,"x_axis",69,0.0383333333333333
19,"y_axis",52,0.0577777777777778
20,"I",35,0.0388888888888889
20,"II",30,0.0333333333333333
20,"III",33,0.0366666666666667
20,"IV",39,0.0433333333333333
20,"x_axis",57,0.0316666666666667
20,"y_axis",35,0.0388888888888889
21,"I",27,0.03
21,"II",29,0.0322222222222222
21,"III",35,0.0388888888888889
21,"IV",33,0.0366666666666667
21,"x_axis",78,0.0433333333333333
21,"y_axis",40,0.0444444444444444
22,"I",33,0.0366666666666667
22,"II",36,0.04
22,"III",29,0.0322222222222222
22,"IV",31,0.0344444444444444
22,"x_axis",66,0.0366666666666667
22,"y_axis",45,0.05
23,"I",31,0.0344444444444444
23,"II",43,0.0477777777777778
23,"III",28,0.0311111111111111
23,"IV",37,0.0411111111111111
23,"x_axis",70,0.0388888888888889
23,"y_axis",38,0.0422222222222222
24,"I",24,0.0266666666666667
24,"II",34,0.0377777777777778
24,"III",23,0.0255555555555556
24,"IV",36,0.04
24,"x_axis",65,0.0361111111111111
24,"y_axis",28,0.0311111111111111
25,"I",28,0.0311111111111111
25,"II",24,0.0266666666666667
25,"III",40,0.0444444444444444
25,"IV",35,0.0388888888888889
25,"x_axis",60,0.0333333333333333
25,"y_axis",32,0.0355555555555556
26,"I",41,0.0455555555555556
26,"II",38,0.0422222222222222
26,"III",30,0.0333333333333333
26,"IV",21,0.0233333333333333
26,"x_axis",69,0.0383333333333333
26,"y_axis",35,0.0388888888888889
91,"I",50,0.0555555555555556
91,"II",24,0.0266666666666667
91,"III",37,0.0411111111111111
91,"IV",39,0.0433333333333333
91,"x_axis",82,0.0455555555555556
91,"y_axis",39,0.0433333333333333
92,"I",35,0.0388888888888889
92,"II",39,0.0433333333333333
92,"III",33,0.0366666666666667
92,"IV",36,0.04
92,"x_axis",84,0.0466666666666667
92,"y_axis",45,0.05
93,"I",23,0.0255555555555556
93,"II",48,0.0533333333333333
93,"III",24,0.0266666666666667
93,"IV",23,0.0255555555555556
93,"x_axis",106,0.0588888888888889
93,"y_axis",35,0.0388888888888889
94,"I",35,0.0388888888888889
94,"II",31,0.0344444444444444
94,"III",39,0.0433333333333333
94,"IV",39,0.0433333333333333
94,"x_axis",59,0.0327777777777778
94,"y_axis",50,0.0555555555555556
99,"I",35,0.0388888888888889
99,"II",31,0.0344444444444444
99,"III",39,0.0433333333333333
99,"IV",39,0.0433333333333333
99,"x_axis",59,0.0327777777777778
99,"y_axis",50,0.0555555555555556
