"participant","trial","is_anomaly_trial","anomaly_line_id","anomaly_group","selected_line_1","selected_line_2","selected_line_3","num_contiguous","num_non_contiguous","total_contiguous","anomaly_proportion","non_anomaly_proportion"
80,27,"True","r2c1_bottom_right",2,"r1c1_bottom_left","r1c1_bottom_right","r0c0_bottom_right",1,2,4,0.25,0.117647058823529
80,42,"True","r1c1_bottom_left",0,"r1c1_right","r0c3_bottom_left","r2c1_bottom_right",1,2,6,0.166666666666667,0.133333333333333
80,48,"True","r2c2_bottom_right",2,"r1c0_bottom_right","r1c1_bottom_left","r1c0_bottom_left",0,3,4,0,0.176470588235294
80,51,"True","r0c2_bottom_left",2,"r2c1_bottom_left","r0c0_bottom_right","r0c3_bottom_left",0,3,4,0,0.176470588235294
80,56,"True","r2c1_bottom_right",2,"r0c1_bottom_right","r1c0_bottom_right","r1c2_bottom_right",1,2,4,0.25,0.117647058823529
80,57,"True","r2c2_bottom_right",2,"r2c0_right","r0c3_bottom_left","r1c1_right",0,3,4,0,0.176470588235294
80,62,"True","r1c2_bottom_right",1,"r2c2_right","r1c0_bottom_right","r0c0_bottom_right",0,3,6,0,0.2
80,69,"True","r1c2_bottom_left",0,"r0c2_bottom_left","r0c1_bottom_right","r1c0_bottom_left",0,3,6,0,0.2
80,72,"True","r2c1_right",0,"r0c3_bottom_right","r1c2_bottom_left","r1c3_bottom_left",1,2,8,0.125,0.153846153846154
80,73,"True","r2c2_right",1,"r2c2_bottom_right","r2c1_bottom_left","r1c1_bottom_right",2,1,8,0.25,0.0769230769230769
80,74,"True","r1c2_bottom_left",0,"r0c2_bottom_right","r1c1_bottom_right","r0c1_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
80,77,"True","r0c2_bottom_left",2,"r0c2_bottom_right","r1c1_right","r1c0_bottom_left",1,2,4,0.25,0.117647058823529
80,78,"True","r2c2_bottom_right",2,"r1c3_bottom_left","r2c3_bottom_right","r3c0_right",0,3,4,0,0.176470588235294
80,80,"True","r1c1_right",0,"r0c1_bottom_left","r1c2_bottom_right","r1c3_bottom_left",1,2,8,0.125,0.153846153846154
80,90,"True","r2c1_right",0,"r2c2_right","r3c2_right","r1c2_bottom_left",1,2,8,0.125,0.153846153846154
80,91,"True","r1c1_bottom_right",0,"r1c2_bottom_right","r2c0_right","r1c0_bottom_right",0,3,6,0,0.2
80,93,"True","r0c1_bottom_right",2,"r0c2_bottom_left","r0c2_bottom_right","r2c1_bottom_right",1,2,4,0.25,0.117647058823529
81,2,"True","r1c2_bottom_right",1,"r0c2_bottom_right","r0c1_bottom_right","r2c3_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
81,5,"True","r1c2_bottom_left",0,"r3c1_right","r1c2_bottom_right","r0c2_right",1,2,6,0.166666666666667,0.133333333333333
81,10,"True","r1c1_bottom_right",0,"r0c2_bottom_left","r2c2_bottom_right","r2c0_bottom_right",2,1,6,0.333333333333333,0.0666666666666667
81,11,"True","r0c1_bottom_right",2,"r0c0_bottom_right","r1c0_bottom_right","r0c3_bottom_left",0,3,4,0,0.176470588235294
81,12,"True","r0c2_bottom_left",2,"r0c1_bottom_right","r1c2_bottom_right","r1c2_right",1,2,4,0.25,0.117647058823529
81,14,"True","r1c2_bottom_right",1,"r0c2_bottom_right","r1c1_bottom_right","r0c0_bottom_right",1,2,6,0.166666666666667,0.133333333333333
81,17,"True","r2c1_bottom_right",2,"r2c1_bottom_left","r2c3_bottom_right","r1c0_bottom_right",2,1,4,0.5,0.0588235294117647
81,21,"True","r2c2_bottom_right",2,"r0c2_bottom_right","r2c0_bottom_right","r0c1_right",0,3,4,0,0.176470588235294
81,23,"True","r1c1_right",0,"r2c1_bottom_right","r2c2_bottom_right","r1c0_right",0,3,8,0,0.230769230769231
81,29,"True","r2c1_bottom_right",2,"r2c0_bottom_right","r3c1_right","r1c3_bottom_left",0,3,4,0,0.176470588235294
81,37,"True","r0c2_bottom_left",2,"r0c1_bottom_right","r0c3_bottom_left","r0c2_bottom_right",2,1,4,0.5,0.0588235294117647
81,39,"True","r1c1_bottom_left",0,"r1c1_bottom_right","r2c3_bottom_left","r1c0_bottom_left",1,2,6,0.166666666666667,0.133333333333333
81,48,"True","r2c1_bottom_right",2,"r1c2_bottom_right","r2c0_bottom_right","r1c3_bottom_left",0,3,4,0,0.176470588235294
81,51,"True","r1c0_bottom_right",1,"r1c1_bottom_right","r2c1_bottom_right","r0c1_bottom_right",1,2,6,0.166666666666667,0.133333333333333
81,60,"True","r1c1_bottom_right",0,"r0c1_bottom_right","r2c3_bottom_left","r2c1_bottom_left",1,2,6,0.166666666666667,0.133333333333333
81,72,"True","r2c2_bottom_left",2,"r0c0_bottom_right","r3c2_right","r0c2_right",0,3,4,0,0.176470588235294
81,76,"True","r1c2_bottom_right",1,"r2c3_bottom_right","r2c2_bottom_right","r1c0_bottom_right",1,2,6,0.166666666666667,0.133333333333333
81,77,"True","r1c1_bottom_right",0,"r0c0_right","r2c0_right","r1c0_bottom_right",0,3,6,0,0.2
81,79,"True","r2c1_bottom_right",2,"r1c1_bottom_right","r0c2_bottom_left","r2c0_bottom_right",0,3,4,0,0.176470588235294
81,80,"True","r2c1_right",0,"r1c1_bottom_right","r1c0_bottom_left","r1c2_bottom_left",2,1,8,0.25,0.0769230769230769
81,81,"True","r0c2_bottom_left",2,"r0c2_bottom_right","r1c1_bottom_right","r2c0_right",2,1,4,0.5,0.0588235294117647
81,84,"True","r2c2_bottom_left",2,"r2c1_bottom_left","r2c2_bottom_right","r0c3_bottom_right",1,2,4,0.25,0.117647058823529
81,85,"True","r1c2_bottom_left",0,"r3c1_right","r2c1_bottom_right","r2c0_bottom_right",0,3,6,0,0.2
81,88,"True","r1c2_bottom_right",1,"r1c1_bottom_left","r2c1_bottom_left","r0c3_bottom_left",1,2,6,0.166666666666667,0.133333333333333
81,96,"True","r2c2_bottom_left",2,"r0c0_bottom_right","r1c2_bottom_right","r1c2_bottom_left",1,2,4,0.25,0.117647058823529
82,5,"True","r1c1_right",0,"r0c2_bottom_left","r1c1_bottom_right","r0c2_bottom_right",3,0,8,0.375,0
82,12,"True","r1c1_right",0,"r1c1_bottom_left","r1c0_bottom_right","r0c0_right",1,2,8,0.125,0.153846153846154
82,14,"True","r2c2_bottom_left",2,"r1c0_bottom_right","r0c1_bottom_left","r2c3_bottom_left",0,3,4,0,0.176470588235294
82,22,"True","r0c2_bottom_right",2,"r1c2_bottom_left","r0c1_bottom_right","r2c0_bottom_right",1,2,4,0.25,0.117647058823529
82,26,"True","r0c2_bottom_right",2,"r0c0_bottom_right","r1c1_bottom_left","r0c1_bottom_left",0,3,4,0,0.176470588235294
82,31,"True","r2c1_right",0,"r1c1_bottom_right","r1c2_bottom_left","r1c2_right",2,1,8,0.25,0.0769230769230769
82,34,"True","r1c1_bottom_left",0,"r2c3_bottom_right","r1c3_bottom_left","r0c1_bottom_left",0,3,6,0,0.2
82,36,"True","r2c2_bottom_left",2,"r2c1_bottom_left","r2c3_bottom_left","r0c1_bottom_left",0,3,4,0,0.176470588235294
82,42,"True","r1c2_bottom_left",0,"r0c0_right","r0c2_bottom_left","r2c3_bottom_left",0,3,6,0,0.2
82,43,"True","r2c2_bottom_right",2,"r0c3_bottom_right","r2c1_bottom_left","r1c1_bottom_left",0,3,4,0,0.176470588235294
82,45,"True","r1c2_bottom_left",0,"r2c0_bottom_right","r2c1_bottom_left","r0c1_bottom_right",0,3,6,0,0.2
82,61,"True","r1c2_bottom_left",0,"r0c2_bottom_right","r0c1_bottom_left","r2c2_bottom_left",2,1,6,0.333333333333333,0.0666666666666667
82,62,"True","r1c1_bottom_right",0,"r2c3_bottom_right","r1c0_right","r2c0_bottom_right",0,3,6,0,0.2
82,63,"True","r1c1_bottom_left",0,"r0c0_bottom_right","r2c0_bottom_right","r0c2_bottom_left",1,2,6,0.166666666666667,0.133333333333333
82,67,"True","r0c1_bottom_right",2,"r1c1_bottom_left","r2c2_bottom_right","r3c1_right",1,2,4,0.25,0.117647058823529
82,72,"True","r2c2_bottom_left",2,"r0c1_bottom_left","r1c1_bottom_right","r0c2_bottom_right",1,2,4,0.25,0.117647058823529
82,74,"True","r2c2_right",1,"r2c1_bottom_left","r1c3_bottom_left","r1c0_bottom_left",1,2,8,0.125,0.153846153846154
82,75,"True","r1c0_bottom_right",1,"r2c3_bottom_right","r1c2_bottom_right","r2c2_bottom_left",0,3,6,0,0.2
82,76,"True","r1c1_bottom_right",0,"r0c1_bottom_right","r1c0_bottom_right","r2c3_bottom_left",1,2,6,0.166666666666667,0.133333333333333
82,77,"True","r1c0_bottom_right",1,"r2c3_bottom_right","r0c2_bottom_left","r2c1_bottom_left",1,2,6,0.166666666666667,0.133333333333333
