participant,trial_count,line_width,line_id,line_orientation
84,45,1.6667,r3c1_right,vertical
84,46,1.3333,r0c1_bottom_right,forward_slash
84,46,1.3333,r2c1_right,vertical
84,46,1.3333,r3c0_right,vertical
84,47,1.0,r2c1_bottom_left,back_slash
84,47,1.0,r2c2_bottom_right,forward_slash
84,47,1.3333,r0c3_bottom_right,forward_slash
84,48,1.0,r3c1_right,vertical
84,48,1.3333,r3c0_right,vertical
84,48,1.6667,r1c2_right,vertical
84,48,1.6667,r2c2_bottom_right,forward_slash
84,48,1.6667,r2c3_bottom_right,forward_slash
84,49,1.3333,r0c0_bottom_right,forward_slash
84,49,1.3333,r0c0_right,vertical
84,49,1.3333,r0c2_bottom_right,forward_slash
84,49,1.3333,r0c3_bottom_left,back_slash
84,50,1.3333,r0c0_bottom_right,forward_slash
84,50,1.3333,r0c0_right,vertical
84,50,1.3333,r0c1_bottom_left,back_slash
84,50,1.3333,r2c0_right,vertical
84,51,1.0,r2c2_bottom_left,back_slash
84,51,1.3333,r2c2_right,vertical
84,51,1.3333,r2c3_bottom_left,back_slash
84,51,1.3333,r3c1_right,vertical
84,52,1.0,r1c0_bottom_left,back_slash
84,52,1.3333,r1c1_bottom_left,back_slash
84,52,1.3333,r2c2_bottom_left,back_slash
84,53,1.3333,r0c1_bottom_left,back_slash
84,53,1.3333,r0c2_right,vertical
84,53,1.3333,r0c3_bottom_left,back_slash
84,53,1.3333,r2c0_bottom_right,forward_slash
84,54,1.0,r2c3_bottom_right,forward_slash
84,54,1.3333,r0c2_bottom_left,back_slash
84,54,1.3333,r1c1_bottom_left,back_slash
84,55,1.0,r0c1_right,vertical
84,55,1.3333,r0c0_right,vertical
84,55,1.3333,r0c2_bottom_left,back_slash
84,55,1.3333,r1c1_right,vertical
84,55,1.3333,r2c2_bottom_right,forward_slash
84,56,1.6667,r2c2_bottom_left,back_slash
84,56,2.0,r0c0_right,vertical
84,56,2.0,r1c2_right,vertical
84,56,2.0,r2c0_bottom_right,forward_slash
84,56,2.0,r2c2_bottom_right,forward_slash
84,56,2.0,r2c3_bottom_right,forward_slash
84,56,2.0,r3c2_right,vertical
84,57,1.3333,r1c2_bottom_right,forward_slash
84,57,1.3333,r2c1_right,vertical
84,57,1.3333,r3c2_right,vertical
84,58,1.0,r2c3_bottom_right,forward_slash
84,58,1.3333,r0c1_right,vertical
84,58,1.6667,r0c3_bottom_right,forward_slash
84,58,1.6667,r1c2_right,vertical
84,58,1.6667,r1c3_bottom_left,back_slash
84,59,1.6667,r0c0_right,vertical
84,59,1.6667,r0c2_bottom_left,back_slash
84,59,1.6667,r1c2_bottom_left,back_slash
84,59,1.6667,r2c3_bottom_right,forward_slash
84,60,1.0,r0c0_bottom_right,forward_slash
84,60,1.3333,r0c2_bottom_left,back_slash
84,60,1.3333,r1c0_bottom_left,back_slash
84,60,1.3333,r1c1_bottom_left,back_slash
84,60,1.3333,r2c0_right,vertical
84,60,1.3333,r2c2_right,vertical
84,61,1.0,r1c0_bottom_left,back_slash
84,61,1.3333,r0c2_right,vertical
84,61,1.3333,r3c2_right,vertical
84,62,1.3333,r0c2_bottom_right,forward_slash
84,62,1.3333,r1c1_bottom_right,forward_slash
84,62,1.3333,r1c2_bottom_left,back_slash
84,62,1.3333,r1c3_bottom_left,back_slash
84,62,1.3333,r2c2_right,vertical
84,63,1.6667,r0c1_bottom_right,forward_slash
84,63,1.6667,r2c0_right,vertical
84,63,2.0,r0c0_bottom_right,forward_slash
84,63,2.0,r0c1_right,vertical
84,63,2.0,r0c2_bottom_right,forward_slash
84,63,2.0,r0c3_bottom_left,back_slash
84,63,2.0,r1c1_bottom_left,back_slash
84,63,2.0,r1c2_right,vertical
84,63,2.0,r2c2_bottom_left,back_slash
84,63,2.0,r2c3_bottom_left,back_slash
84,63,2.0,r3c0_right,vertical
84,63,2.0,r3c1_right,vertical
84,64,1.0,r0c1_bottom_left,back_slash
84,64,1.3333,r0c1_right,vertical
84,64,1.3333,r0c3_bottom_left,back_slash
84,65,1.3333,r0c1_right,vertical
84,65,1.3333,r0c3_bottom_right,forward_slash
84,65,1.3333,r1c2_right,vertical
84,65,1.3333,r2c0_right,vertical
84,66,1.0,r0c0_right,vertical
84,66,1.0,r1c0_right,vertical
84,66,1.3333,r1c1_right,vertical
84,67,1.0,r3c2_right,vertical
84,67,1.3333,r3c1_right,vertical
84,67,2.0,r0c2_right,vertical
84,67,2.0,r0c3_bottom_right,forward_slash
84,67,2.0,r1c2_bottom_left,back_slash
84,67,2.0,r1c2_bottom_right,forward_slash
84,67,2.0,r2c2_bottom_right,forward_slash
84,68,1.0,r2c0_bottom_right,forward_slash
84,68,1.0,r3c1_right,vertical
84,68,1.3333,r0c1_bottom_right,forward_slash
84,68,1.3333,r0c3_bottom_right,forward_slash
84,68,1.3333,r1c2_bottom_right,forward_slash
84,68,1.3333,r2c1_bottom_left,back_slash
84,69,1.0,r0c1_bottom_left,back_slash
84,69,1.3333,r2c2_bottom_left,back_slash
84,69,1.3333,r2c2_bottom_right,forward_slash
84,70,1.3333,r0c2_bottom_right,forward_slash
84,70,1.3333,r1c0_right,vertical
84,70,1.3333,r1c2_bottom_left,back_slash
84,71,1.6667,r0c1_right,vertical
84,71,1.6667,r2c0_bottom_right,forward_slash
84,71,1.6667,r2c0_right,vertical
84,71,1.6667,r2c2_right,vertical
84,72,1.0,r2c1_right,vertical
84,72,1.3333,r0c0_bottom_right,forward_slash
84,72,1.3333,r1c1_bottom_left,back_slash
84,72,1.3333,r1c2_bottom_right,forward_slash
84,72,1.3333,r2c2_bottom_left,back_slash
84,73,1.0,r1c1_bottom_left,back_slash
84,73,1.3333,r0c2_right,vertical
84,73,1.3333,r0c3_bottom_left,back_slash
84,73,1.3333,r1c3_bottom_left,back_slash
84,73,1.3333,r2c1_right,vertical
84,74,1.6667,r1c1_right,vertical
84,74,1.6667,r2c0_bottom_right,forward_slash
84,74,1.6667,r2c1_bottom_left,back_slash
84,74,1.6667,r2c2_bottom_left,back_slash
84,74,1.6667,r3c0_right,vertical
84,75,1.0,r0c2_bottom_right,forward_slash
84,75,1.0,r2c0_bottom_right,forward_slash
84,75,1.0,r2c1_right,vertical
84,76,1.3333,r0c1_bottom_right,forward_slash
84,76,1.3333,r0c2_bottom_right,forward_slash
84,76,1.3333,r0c2_right,vertical
84,77,1.0,r1c1_bottom_right,forward_slash
84,77,1.3333,r2c2_bottom_left,back_slash
84,77,1.6667,r0c2_bottom_left,back_slash
84,77,1.6667,r1c2_bottom_left,back_slash
84,77,1.6667,r2c0_right,vertical
84,77,1.6667,r2c3_bottom_right,forward_slash
84,77,1.6667,r3c2_right,vertical
84,78,1.0,r0c3_bottom_left,back_slash
84,78,1.3333,r0c0_bottom_right,forward_slash
84,78,1.3333,r0c0_right,vertical
84,78,1.3333,r1c0_right,vertical
84,78,1.3333,r1c2_bottom_left,back_slash
84,78,1.3333,r1c2_right,vertical
84,78,1.3333,r2c2_right,vertical
84,79,1.3333,r0c0_right,vertical
84,79,1.6667,r0c2_bottom_right,forward_slash
84,79,1.6667,r0c3_bottom_left,back_slash
84,79,1.6667,r1c0_bottom_right,forward_slash
84,79,1.6667,r2c2_right,vertical
84,79,1.6667,r3c0_right,vertical
84,80,1.3333,r0c1_bottom_left,back_slash
84,80,1.3333,r2c2_bottom_right,forward_slash
84,80,1.3333,r2c3_bottom_right,forward_slash
84,81,1.3333,r1c2_bottom_right,forward_slash
84,81,1.3333,r3c0_right,vertical
84,81,1.6667,r2c3_bottom_left,back_slash
84,82,1.3333,r0c2_right,vertical
84,82,1.3333,r1c0_bottom_left,back_slash
84,82,1.3333,r2c2_right,vertical
84,83,1.0,r0c3_bottom_left,back_slash
84,83,1.0,r2c0_bottom_right,forward_slash
84,83,1.3333,r0c2_bottom_right,forward_slash
84,83,1.3333,r2c2_bottom_left,back_slash
84,83,1.3333,r2c3_bottom_right,forward_slash
84,84,1.0,r0c2_bottom_right,forward_slash
84,84,1.3333,r0c0_right,vertical
84,84,1.3333,r1c2_bottom_right,forward_slash
84,84,1.3333,r2c2_bottom_left,back_slash
84,85,1.0,r0c0_right,vertical
84,85,1.0,r2c2_bottom_right,forward_slash
84,85,1.0,r3c1_right,vertical
84,86,1.0,r3c1_right,vertical
84,86,1.3333,r1c2_right,vertical
84,86,1.3333,r2c1_bottom_left,back_slash
