participant,date,overall_time,trial_count,click_order,prompt_rt_sec,selection_rt_ms,pressed_object,line_width,top_x,top_y,bottom_x,bottom_y,line_id,line_orientation,selected_or_released,accuracy,possible_thinnest_lines,is_practice,is_anomaly_trial,anomaly_mid_x,anomaly_mid_y,anomaly_line_id,anomaly_group
59,2021_Oct_29_1030,0 days 00:08:59.512721000,10,1,15.901034299999992,383.042,line,1.6667,-204.5965670736252,-99.34668421095544,-302.2982835368126,-169.02002631643316,r2c0_bottom_right,forward_slash,selected,,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:09:00.578410000,10,2,15.901034299999992,1448.731,line,1.6667,-9.19313414725039,280.0,-106.8948506104378,210.32665789452227,r0c1_bottom_right,forward_slash,selected,,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:09:01.246031000,10,3,15.901034299999992,2116.352,line,1.6667,186.21029877912443,280.0,283.91201524231184,210.32665789452227,r0c3_bottom_left,back_slash,selected,,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:09:02.249054000,10,4,15.901034299999992,3119.375,submit,,,,,,,,,1.0,3,False,True,137.3594405475307,245.16332894726114,r0c2_bottom_right,2
59,2021_Oct_29_1030,0 days 00:09:14.759390000,11,1,10.733644699999786,880.59,line,1.0,-106.8948506104378,90.32665789452227,-204.5965670736252,20.653315789044555,r1c0_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:09:15.960609000,11,2,10.733644699999786,2081.809,line,1.0,-9.19313414725039,280.0,88.50858231593702,210.32665789452227,r0c2_bottom_left,back_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:09:18.963412000,11,3,10.733644699999786,5084.612,line,1.0,88.50858231593702,90.32665789452227,-9.19313414725039,20.653315789044555,r1c1_bottom_right,forward_slash,selected,,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:09:20.834478000,11,4,10.733644699999786,6955.678,submit,,,,,,,,,1.0,3,False,False,,,,
59,2021_Oct_29_1030,0 days 00:09:44.174341000,12,1,21.578121500000634,616.21,line,1.0,88.50858231593702,210.32665789452227,88.50858231593702,90.32665789452227,r1c1_right,vertical,selected,,4,False,True,-58.043992378844095,245.16332894726114,r0c1_bottom_right,2
59,2021_Oct_29_1030,0 days 00:09:45.439950000,12,2,21.578121500000634,1881.819,line,1.3333,-204.5965670736252,-99.34668421095544,-106.8948506104378,-169.02002631643316,r2c1_bottom_left,back_slash,selected,,4,False,True,-58.043992378844095,245.16332894726114,r0c1_bottom_right,2
