"participant","trial_count","line_width","line_id","line_orientation","drop_marker"
77,72,1.3333,"r2c1_bottom_left","back_slash","77_72"
77,72,1.3333,"r2c2_bottom_left","back_slash","77_72"
77,73,1,"r0c2_right","vertical","77_73"
77,73,1.6667,"r0c1_bottom_left","back_slash","77_73"
77,73,2,"r0c3_bottom_left","back_slash","77_73"
77,73,2,"r1c1_bottom_right","forward_slash","77_73"
77,73,2,"r2c0_right","vertical","77_73"
77,73,2,"r2c3_bottom_left","back_slash","77_73"
77,73,2,"r2c3_bottom_right","forward_slash","77_73"
77,74,1,"r1c0_bottom_right","forward_slash","77_74"
77,74,1.3333,"r0c2_right","vertical","77_74"
77,74,1.6667,"r1c2_bottom_right","forward_slash","77_74"
77,74,1.6667,"r2c1_bottom_left","back_slash","77_74"
77,74,1.6667,"r2c3_bottom_right","forward_slash","77_74"
77,75,1,"r0c2_bottom_left","back_slash","77_75"
77,75,1,"r2c1_bottom_left","back_slash","77_75"
77,75,1.3333,"r2c0_right","vertical","77_75"
77,76,1,"r2c0_bottom_right","forward_slash","77_76"
77,76,1.3333,"r0c1_bottom_left","back_slash","77_76"
77,76,1.3333,"r0c2_bottom_left","back_slash","77_76"
77,76,1.3333,"r1c0_right","vertical","77_76"
77,76,1.3333,"r2c3_bottom_right","forward_slash","77_76"
77,77,1.3333,"r0c0_right","vertical","77_77"
77,77,1.3333,"r1c1_right","vertical","77_77"
77,77,1.3333,"r2c1_bottom_left","back_slash","77_77"
77,77,1.3333,"r2c2_bottom_right","forward_slash","77_77"
77,77,1.3333,"r2c2_right","vertical","77_77"
77,77,1.3333,"r2c3_bottom_left","back_slash","77_77"
77,77,1.3333,"r3c2_right","vertical","77_77"
77,78,1.3333,"r1c0_right","vertical","77_78"
77,78,1.6667,"r0c3_bottom_right","forward_slash","77_78"
77,78,1.6667,"r2c1_bottom_right","forward_slash","77_78"
77,78,1.6667,"r3c1_right","vertical","77_78"
77,79,1,"r0c1_bottom_right","forward_slash","77_79"
77,79,1,"r2c3_bottom_left","back_slash","77_79"
77,79,1.3333,"r0c0_bottom_right","forward_slash","77_79"
77,79,1.3333,"r1c1_bottom_left","back_slash","77_79"
77,79,1.3333,"r1c1_bottom_right","forward_slash","77_79"
77,79,1.3333,"r2c0_right","vertical","77_79"
77,79,1.3333,"r2c2_bottom_right","forward_slash","77_79"
77,79,1.3333,"r2c2_right","vertical","77_79"
77,80,1,"r3c0_right","vertical","77_80"
77,80,1.3333,"r0c0_right","vertical","77_80"
77,80,1.3333,"r1c0_bottom_left","back_slash","77_80"
77,80,1.3333,"r3c1_right","vertical","77_80"
77,81,1.3333,"r0c2_bottom_left","back_slash","77_81"
77,81,1.3333,"r2c2_right","vertical","77_81"
77,81,2,"r1c2_bottom_right","forward_slash","77_81"
77,81,2,"r2c0_right","vertical","77_81"
77,82,1,"r0c1_bottom_right","forward_slash","77_82"
77,82,1.3333,"r0c3_bottom_left","back_slash","77_82"
77,82,1.6667,"r1c2_bottom_left","back_slash","77_82"
77,82,1.6667,"r2c3_bottom_left","back_slash","77_82"
77,82,1.6667,"r2c3_bottom_right","forward_slash","77_82"
77,83,1.3333,"r1c0_right","vertical","77_83"
77,83,1.3333,"r1c1_bottom_right","forward_slash","77_83"
77,83,1.3333,"r2c1_bottom_left","back_slash","77_83"
77,84,1.3333,"r1c1_right","vertical","77_84"
77,84,1.3333,"r2c0_bottom_right","forward_slash","77_84"
77,84,1.6667,"r1c0_bottom_right","forward_slash","77_84"
77,85,1,"r2c3_bottom_left","back_slash","77_85"
77,85,1.3333,"r2c1_bottom_left","back_slash","77_85"
77,85,1.3333,"r2c2_right","vertical","77_85"
77,86,1.3333,"r0c0_bottom_right","forward_slash","77_86"
77,86,1.3333,"r2c0_right","vertical","77_86"
77,86,1.6667,"r0c3_bottom_right","forward_slash","77_86"
77,86,1.6667,"r1c0_bottom_left","back_slash","77_86"
77,86,1.6667,"r3c2_right","vertical","77_86"
77,87,1,"r0c3_bottom_right","forward_slash","77_87"
77,87,1.3333,"r0c1_right","vertical","77_87"
77,87,1.3333,"r1c0_right","vertical","77_87"
77,87,1.3333,"r2c0_right","vertical","77_87"
77,87,1.3333,"r2c3_bottom_right","forward_slash","77_87"
77,88,1,"r0c1_right","vertical","77_88"
77,88,1,"r3c2_right","vertical","77_88"
77,88,1.3333,"r0c2_bottom_right","forward_slash","77_88"
77,88,1.3333,"r2c0_bottom_right","forward_slash","77_88"
77,89,1,"r0c3_bottom_left","back_slash","77_89"
77,89,1.3333,"r0c0_right","vertical","77_89"
77,89,1.3333,"r1c2_right","vertical","77_89"
77,89,1.3333,"r2c1_right","vertical","77_89"
77,89,1.3333,"r2c2_bottom_left","back_slash","77_89"
77,90,1.6667,"r2c3_bottom_left","back_slash","77_90"
77,90,1.6667,"r2c3_bottom_right","forward_slash","77_90"
77,90,1.6667,"r3c0_right","vertical","77_90"
77,91,1.6667,"r0c0_bottom_right","forward_slash","77_91"
77,91,1.6667,"r2c0_right","vertical","77_91"
77,91,2,"r0c2_bottom_right","forward_slash","77_91"
77,91,2,"r0c3_bottom_left","back_slash","77_91"
77,91,2,"r0c3_bottom_right","forward_slash","77_91"
77,91,2,"r1c0_bottom_right","forward_slash","77_91"
77,91,2,"r1c1_bottom_right","forward_slash","77_91"
77,91,2,"r2c1_bottom_right","forward_slash","77_91"
77,92,1,"r2c2_bottom_left","back_slash","77_92"
77,92,1.3333,"r0c1_bottom_right","forward_slash","77_92"
77,92,1.3333,"r0c3_bottom_left","back_slash","77_92"
77,92,1.3333,"r1c2_bottom_left","back_slash","77_92"
77,92,1.3333,"r2c2_right","vertical","77_92"
77,93,1,"r0c1_right","vertical","77_93"
77,93,1.3333,"r2c1_bottom_right","forward_slash","77_93"
77,93,1.6667,"r0c0_right","vertical","77_93"
77,93,1.6667,"r0c2_bottom_right","forward_slash","77_93"
77,93,1.6667,"r1c0_right","vertical","77_93"
77,93,1.6667,"r1c1_right","vertical","77_93"
77,93,1.6667,"r1c2_right","vertical","77_93"
77,94,1.3333,"r2c0_bottom_right","forward_slash","77_94"
77,94,1.3333,"r2c1_right","vertical","77_94"
77,94,2,"r0c0_right","vertical","77_94"
77,94,2,"r0c3_bottom_right","forward_slash","77_94"
77,94,2,"r1c0_bottom_right","forward_slash","77_94"
77,94,2,"r1c0_right","vertical","77_94"
77,94,2,"r1c1_bottom_right","forward_slash","77_94"
77,94,2,"r1c1_right","vertical","77_94"
77,94,2,"r2c3_bottom_right","forward_slash","77_94"
77,94,2,"r3c0_right","vertical","77_94"
77,95,1.3333,"r0c0_right","vertical","77_95"
77,95,1.6667,"r3c1_right","vertical","77_95"
77,95,2,"r0c2_bottom_left","back_slash","77_95"
77,95,2,"r0c3_bottom_left","back_slash","77_95"
77,95,2,"r0c3_bottom_right","forward_slash","77_95"
77,95,2,"r1c0_bottom_right","forward_slash","77_95"
77,95,2,"r2c2_bottom_left","back_slash","77_95"
77,95,2,"r2c2_bottom_right","forward_slash","77_95"
77,96,1,"r2c0_right","vertical","77_96"
77,96,1.3333,"r0c1_bottom_right","forward_slash","77_96"
77,96,1.3333,"r0c2_right","vertical","77_96"
77,96,1.3333,"r0c3_bottom_left","back_slash","77_96"
77,96,1.3333,"r1c0_right","vertical","77_96"
77,97,1,"r1c0_bottom_right","forward_slash","77_97"
77,97,1.3333,"r0c1_bottom_left","back_slash","77_97"
77,97,1.3333,"r1c0_right","vertical","77_97"
77,97,1.3333,"r2c3_bottom_right","forward_slash","77_97"
77,98,1.3333,"r0c1_bottom_left","back_slash","77_98"
77,98,1.3333,"r0c2_bottom_left","back_slash","77_98"
77,98,1.3333,"r1c0_right","vertical","77_98"
77,99,1,"r1c0_right","vertical","77_99"
77,99,1.3333,"r0c2_bottom_right","forward_slash","77_99"
77,99,1.3333,"r1c0_bottom_left","back_slash","77_99"
77,99,1.3333,"r1c1_bottom_right","forward_slash","77_99"
78,0,1.3333,"r1c0_right","vertical","78_0"
78,0,1.3333,"r2c2_bottom_right","forward_slash","78_0"
78,0,1.6667,"r0c1_bottom_right","forward_slash","78_0"
78,0,1.6667,"r0c3_bottom_left","back_slash","78_0"
78,0,1.6667,"r2c1_right","vertical","78_0"
78,0,1.6667,"r2c3_bottom_right","forward_slash","78_0"
78,1,1,"r0c1_bottom_right","forward_slash","78_1"
78,1,1,"r1c0_bottom_left","back_slash","78_1"
78,1,1.3333,"r2c2_bottom_left","back_slash","78_1"
78,2,1.3333,"r0c3_bottom_left","back_slash","78_2"
78,2,1.3333,"r0c3_bottom_right","forward_slash","78_2"
78,2,1.3333,"r2c3_bottom_left","back_slash","78_2"
78,3,1.3333,"r0c1_right","vertical","78_3"
78,3,1.3333,"r0c3_bottom_left","back_slash","78_3"
78,3,1.3333,"r2c1_bottom_right","forward_slash","78_3"
78,3,1.3333,"r2c1_right","vertical","78_3"
78,4,1,"r2c3_bottom_right","forward_slash","78_4"
78,4,1.3333,"r2c0_right","vertical","78_4"
78,4,1.3333,"r2c1_bottom_left","back_slash","78_4"
78,6,1.3333,"r1c0_right","vertical","78_6"
78,6,1.3333,"r1c1_bottom_right","forward_slash","78_6"
78,6,1.6667,"r2c2_bottom_left","back_slash","78_6"
78,7,1.3333,"r0c2_right","vertical","78_7"
78,7,1.3333,"r1c1_bottom_left","back_slash","78_7"
78,7,1.3333,"r1c2_bottom_left","back_slash","78_7"
78,7,1.3333,"r2c0_bottom_right","forward_slash","78_7"
78,9,1,"r2c3_bottom_right","forward_slash","78_9"
78,9,1.3333,"r0c1_bottom_left","back_slash","78_9"
78,9,1.3333,"r2c2_right","vertical","78_9"
78,11,1,"r0c1_bottom_left","back_slash","78_11"
78,11,1,"r0c1_bottom_right","forward_slash","78_11"
78,11,1,"r0c2_right","vertical","78_11"
78,12,1.3333,"r0c1_bottom_left","back_slash","78_12"
78,12,1.3333,"r0c1_bottom_right","forward_slash","78_12"
78,12,1.3333,"r0c1_right","vertical","78_12"
78,13,1.3333,"r1c0_bottom_left","back_slash","78_13"
78,13,1.3333,"r2c2_bottom_left","back_slash","78_13"
78,13,1.3333,"r3c1_right","vertical","78_13"
78,15,1,"r1c0_bottom_left","back_slash","78_15"
78,15,1.3333,"r1c0_bottom_right","forward_slash","78_15"
78,15,1.3333,"r1c3_bottom_left","back_slash","78_15"
78,15,1.3333,"r2c1_bottom_left","back_slash","78_15"
78,17,1,"r2c1_bottom_left","back_slash","78_17"
78,17,1.6667,"r0c1_right","vertical","78_17"
78,17,1.6667,"r0c2_right","vertical","78_17"
78,17,1.6667,"r2c3_bottom_right","forward_slash","78_17"
78,18,1,"r1c0_bottom_right","forward_slash","78_18"
78,18,2,"r0c1_bottom_right","forward_slash","78_18"
78,18,2,"r1c1_bottom_left","back_slash","78_18"
78,18,2,"r2c2_bottom_right","forward_slash","78_18"
78,18,2,"r2c3_bottom_left","back_slash","78_18"
78,20,1,"r2c1_right","vertical","78_20"
78,20,1.3333,"r0c1_bottom_right","forward_slash","78_20"
78,20,1.3333,"r2c2_bottom_left","back_slash","78_20"
78,21,1.3333,"r0c3_bottom_left","back_slash","78_21"
78,21,1.3333,"r1c2_bottom_right","forward_slash","78_21"
78,21,1.3333,"r1c3_bottom_left","back_slash","78_21"
78,21,1.3333,"r2c0_right","vertical","78_21"
78,21,1.3333,"r2c2_bottom_left","back_slash","78_21"
78,21,1.3333,"r2c3_bottom_right","forward_slash","78_21"
78,22,1,"r1c2_bottom_left","back_slash","78_22"
78,22,1,"r3c2_right","vertical","78_22"
78,22,1.3333,"r0c0_bottom_right","forward_slash","78_22"
78,22,1.3333,"r1c1_bottom_right","forward_slash","78_22"
78,23,1,"r0c3_bottom_right","forward_slash","78_23"
78,23,1.3333,"r0c2_bottom_left","back_slash","78_23"
