"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice"
90,"2021_Sep_22_1505","0 days 00:05:46.125357000",10,1,1.65805870000622,514.143,"line",1,-204.596567073625,20.6533157890446,-204.596567073625,-99.3466842109554,"r2c0_right","vertical","selected",NA,6,"False"
90,"2021_Sep_22_1505","0 days 00:05:48.427920000",10,2,1.65805870000622,2816.706,"line",1.6667,88.508582315937,90.3266578945223,-9.19313414725039,20.6533157890446,"r1c1_bottom_right","forward_slash","selected",NA,6,"False"
90,"2021_Sep_22_1505","0 days 00:05:49.629515000",10,3,1.65805870000622,4018.301,"line",1.6667,186.210298779124,280,88.508582315937,210.326657894522,"r0c2_bottom_right","forward_slash","selected",NA,6,"False"
90,"2021_Sep_22_1505","0 days 00:05:51.964981000",10,4,1.65805870000622,6353.767,"submit",NA,NA,NA,NA,NA,"","","",1,6,"False"
90,"2021_Sep_22_1505","0 days 00:05:54.734378000",11,1,1.43447229999583,564.39,"line",1,186.210298779124,20.6533157890446,186.210298779124,-99.3466842109554,"r2c2_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:56.970307000",11,2,1.43447229999583,2800.319,"line",1.6667,283.912015242312,90.3266578945223,381.613731705499,20.6533157890446,"r1c3_bottom_left","back_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:05:57.938237000",11,3,1.43447229999583,3768.249,"line",1,283.912015242312,210.326657894522,283.912015242312,90.3266578945223,"r1c2_right","vertical","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:00.255802000",11,4,1.43447229999583,6085.814,"line",1,283.912015242312,210.326657894522,283.912015242312,90.3266578945223,"r1c2_right","vertical","released",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:01.991775000",11,5,1.43447229999583,7821.787,"line",1.3333,-9.19313414725039,280,-106.894850610438,210.326657894522,"r0c1_bottom_right","forward_slash","selected",NA,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:03.027208000",11,6,1.43447229999583,8857.22,"submit",NA,NA,NA,NA,NA,"","","",0.666666666666667,4,"False"
90,"2021_Sep_22_1505","0 days 00:06:05.577751000",12,1,1.32049270000425,547.394,"line",1.3333,-204.596567073625,-99.3466842109554,-106.894850610438,-169.020026316433,"r2c1_bottom_left","back_slash","selected",NA,5,"False"
90,"2021_Sep_22_1505","0 days 00:06:07.448444000",12,2,1.32049270000425,2418.087,"line",1.3333,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,5,"False"
