"participant","date","overall_time","trial_count","click_order","prompt_rt_sec","selection_rt_ms","pressed_object","line_width","top_x","top_y","bottom_x","bottom_y","line_id","line_orientation","selected_or_released","accuracy","possible_thinnest_lines","is_practice","drop_marker","indecision_trial"
10,"2021_Oct_01_1059","0 days 00:33:45.994577000",8,1,5.93534029999955,413.548,"line",1,381.613731705499,-99.3466842109554,283.912015242312,-169.020026316433,"r2c3_bottom_right","forward_slash","selected",NA,4,"False","10_8",0
10,"2021_Oct_01_1059","0 days 00:33:47.062964000",8,2,5.93534029999955,1481.935,"line",1.3333,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,4,"False","10_8",0
10,"2021_Oct_01_1059","0 days 00:33:50.432498000",8,3,5.93534029999955,4851.469,"line",1.3333,-204.596567073625,-99.3466842109554,-302.298283536813,-169.020026316433,"r2c0_bottom_right","forward_slash","selected",NA,4,"False","10_8",0
10,"2021_Oct_01_1059","0 days 00:33:51.368528000",8,4,5.93534029999955,5787.499,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","10_8",0
10,"2021_Oct_01_1059","0 days 00:34:01.994344000",9,1,9.24786649999987,432.085,"line",1,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,3,"False","10_9",0
10,"2021_Oct_01_1059","0 days 00:34:02.827050000",9,2,9.24786649999987,1264.791,"line",1.3333,88.508582315937,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_left","back_slash","selected",NA,3,"False","10_9",0
10,"2021_Oct_01_1059","0 days 00:34:03.560541000",9,3,9.24786649999987,1998.282,"line",1.3333,-302.298283536813,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_left","back_slash","selected",NA,3,"False","10_9",0
10,"2021_Oct_01_1059","0 days 00:34:05.064692000",9,4,9.24786649999987,3502.433,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False","10_9",0
10,"2021_Oct_01_1059","0 days 00:34:17.425251000",10,1,11.0859492999998,493.813,"line",1,381.613731705499,280,283.912015242312,210.326657894522,"r0c3_bottom_right","forward_slash","selected",NA,4,"False","10_10",0
10,"2021_Oct_01_1059","0 days 00:34:19.793947000",10,2,11.0859492999998,2862.509,"line",1.3333,-106.894850610438,90.3266578945223,-204.596567073625,20.6533157890446,"r1c0_bottom_right","forward_slash","selected",NA,4,"False","10_10",0
10,"2021_Oct_01_1059","0 days 00:34:21.528694000",10,3,11.0859492999998,4597.256,"line",1.3333,-204.596567073625,20.6533157890446,-204.596567073625,-99.3466842109554,"r2c0_right","vertical","selected",NA,4,"False","10_10",0
10,"2021_Oct_01_1059","0 days 00:34:22.664058000",10,4,11.0859492999998,5732.62,"submit",NA,NA,NA,NA,NA,"","","",1,4,"False","10_10",0
10,"2021_Oct_01_1059","0 days 00:34:30.637667000",11,1,6.61410849999993,612.735,"line",1,381.613731705499,280,283.912015242312,210.326657894522,"r0c3_bottom_right","forward_slash","selected",NA,3,"False","10_11",0
10,"2021_Oct_01_1059","0 days 00:34:31.304974000",11,2,6.61410849999993,1280.042,"line",1.6667,283.912015242312,90.3266578945223,186.210298779124,20.6533157890446,"r1c2_bottom_right","forward_slash","selected",NA,3,"False","10_11",0
10,"2021_Oct_01_1059","0 days 00:34:32.006249000",11,3,6.61410849999993,1981.317,"line",1.3333,-9.19313414725039,-99.3466842109554,88.508582315937,-169.020026316433,"r2c2_bottom_left","back_slash","selected",NA,3,"False","10_11",0
10,"2021_Oct_01_1059","0 days 00:34:34.026892000",11,4,6.61410849999993,4001.96,"submit",NA,NA,NA,NA,NA,"","","",1,3,"False","10_11",0
