3.0903 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
21.8250 	EXP 	Created blank_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='blank_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.8266 	EXP 	Created error_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='error_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='height', win=Window(...), wrapWidth=1)
21.8687 	EXP 	text: autoDraw = True
23.2994 	EXP 	Imported stimuli.xlsx as conditions, 16 conditions, 4 params
23.3025 	EXP 	Created sequence: random, trialTypes=16, nReps=5, seed=None
23.3030 	EXP 	New trial (rep=0, index=0): {'stimulus': 4, 'display': 1, 'cor_mag_resp': 'j', 'cor_par_resp': 'f'}
23.3074 	DATA 	Keypress: space
23.3262 	WARNING 	t of last frame was 1506.45ms (=1/0)
23.3354 	EXP 	text: autoDraw = False
23.3354 	EXP 	isi_blank0: autoDraw = True
23.3562 	WARNING 	t of last frame was 29.96ms (=1/33)
23.3562 	EXP 	isi_blank1: autoDraw = True
23.3892 	WARNING 	t of last frame was 33.02ms (=1/30)
23.4237 	WARNING 	t of last frame was 34.57ms (=1/28)
23.4561 	WARNING 	Multiple dropped frames have occurred - I'll stop bothering you about them!
23.8272 	EXP 	isi_blank1: autoDraw = False
23.8272 	EXP 	stimulus_text: height = 0.1
23.8272 	EXP 	stimulus_text: height = 0.1
23.8272 	EXP 	stimulus_text: height = 0.1
23.8272 	EXP 	stimulus_text: text = 4
23.8352 	EXP 	isi_blank0: autoDraw = False
23.8352 	EXP 	blank_text: autoDraw = True
23.8565 	EXP 	stimulus_text: autoDraw = True
25.8987 	EXP 	New trial (rep=0, index=1): {'stimulus': 2, 'display': 0, 'cor_mag_resp': 'j', 'cor_par_resp': 'f'}
25.8995 	DATA 	Keypress: j
25.9189 	EXP 	stimulus_text: autoDraw = False
25.9189 	EXP 	error_text: height = 0.1
25.9189 	EXP 	error_text: height = 0.1
25.9189 	EXP 	error_text: height = 0.1
25.9189 	EXP 	error_text: text = 'ERROR!'
25.9189 	EXP 	error_text: autoDraw = False
25.9357 	EXP 	blank_text: autoDraw = False
26.4022 	EXP 	isi_blank0: autoDraw = True
26.4223 	EXP 	isi_blank1: autoDraw = True
26.9300 	EXP 	isi_blank1: autoDraw = False
26.9523 	EXP 	isi_blank0: autoDraw = False
26.9523 	EXP 	stimulus_text: height = 0.1
26.9523 	EXP 	stimulus_text: height = 0.1
26.9523 	EXP 	stimulus_text: height = 0.1
26.9523 	EXP 	stimulus_text: text = 2
26.9523 	EXP 	stimulus_text: autoDraw = True
26.9736 	EXP 	blank_text: autoDraw = True
28.2874 	DATA 	Keypress: k
28.3267 	EXP 	blank_text: autoDraw = False
28.3356 	EXP 	stimulus_text: autoDraw = False
28.3356 	EXP 	error_text: text = 'ERROR!'
28.3356 	EXP 	error_text: autoDraw = True
28.8363 	EXP 	New trial (rep=0, index=2): {'stimulus': 6, 'display': 0, 'cor_mag_resp': 'k', 'cor_par_resp': 'd'}
28.8691 	EXP 	error_text: autoDraw = False
28.8691 	EXP 	isi_blank0: autoDraw = True
28.8891 	EXP 	isi_blank1: autoDraw = True
29.3663 	EXP 	isi_blank1: autoDraw = False
29.3853 	EXP 	isi_blank0: autoDraw = False
29.3853 	EXP 	stimulus_text: height = 0.1
29.3853 	EXP 	stimulus_text: height = 0.1
29.3853 	EXP 	stimulus_text: height = 0.1
29.3853 	EXP 	stimulus_text: text = 6
29.3853 	EXP 	stimulus_text: autoDraw = True
29.4061 	EXP 	blank_text: autoDraw = True
29.9869 	DATA 	Keypress: j
30.0264 	EXP 	blank_text: autoDraw = False
30.0353 	EXP 	stimulus_text: autoDraw = False
30.0353 	EXP 	error_text: text = 'ERROR!'
30.0353 	EXP 	error_text: autoDraw = True
30.5357 	EXP 	New trial (rep=0, index=3): {'stimulus': 4, 'display': 0, 'cor_mag_resp': 'j', 'cor_par_resp': 'f'}
30.5684 	EXP 	error_text: autoDraw = False
30.5684 	EXP 	isi_blank0: autoDraw = True
30.5884 	EXP 	isi_blank1: autoDraw = True
31.0570 	EXP 	isi_blank1: autoDraw = False
31.0688 	EXP 	isi_blank0: autoDraw = False
31.0688 	EXP 	stimulus_text: height = 0.1
31.0688 	EXP 	stimulus_text: height = 0.1
31.0688 	EXP 	stimulus_text: height = 0.1
31.0688 	EXP 	stimulus_text: text = 4
31.0688 	EXP 	stimulus_text: autoDraw = True
31.0898 	EXP 	blank_text: autoDraw = True
31.9240 	EXP 	New trial (rep=0, index=4): {'stimulus': 7, 'display': 1, 'cor_mag_resp': 'k', 'cor_par_resp': 'f'}
31.9249 	DATA 	Keypress: j
31.9437 	EXP 	blank_text: autoDraw = False
31.9523 	EXP 	stimulus_text: autoDraw = False
31.9523 	EXP 	error_text: text = 'ERROR!'
31.9523 	EXP 	error_text: autoDraw = False
32.4521 	EXP 	isi_blank0: autoDraw = True
32.4728 	EXP 	isi_blank1: autoDraw = True
32.9757 	EXP 	isi_blank1: autoDraw = False
32.9757 	EXP 	stimulus_text: height = 0.1
32.9757 	EXP 	stimulus_text: height = 0.1
32.9757 	EXP 	stimulus_text: height = 0.1
32.9757 	EXP 	stimulus_text: text = 7
32.9855 	EXP 	isi_blank0: autoDraw = False
32.9855 	EXP 	blank_text: autoDraw = True
33.0068 	EXP 	stimulus_text: autoDraw = True
33.7739 	EXP 	New trial (rep=0, index=5): {'stimulus': 8, 'display': 1, 'cor_mag_resp': 'k', 'cor_par_resp': 'd'}
33.7748 	DATA 	Keypress: k
33.7936 	EXP 	stimulus_text: autoDraw = False
33.7936 	EXP 	error_text: text = 'ERROR!'
33.7936 	EXP 	error_text: autoDraw = False
33.8017 	EXP 	blank_text: autoDraw = False
34.3019 	EXP 	isi_blank0: autoDraw = True
34.3226 	EXP 	isi_blank1: autoDraw = True
34.8344 	EXP 	isi_blank1: autoDraw = False
34.8344 	EXP 	stimulus_text: height = 0.1
34.8344 	EXP 	stimulus_text: height = 0.1
34.8344 	EXP 	stimulus_text: height = 0.1
34.8344 	EXP 	stimulus_text: text = 8
34.8522 	EXP 	isi_blank0: autoDraw = False
34.8522 	EXP 	blank_text: autoDraw = True
34.8736 	EXP 	stimulus_text: autoDraw = True
37.1407 	EXP 	New trial (rep=0, index=6): {'stimulus': 9, 'display': 0, 'cor_mag_resp': 'k', 'cor_par_resp': 'f'}
37.1420 	DATA 	Keypress: k
37.1605 	EXP 	stimulus_text: autoDraw = False
37.1605 	EXP 	error_text: text = 'ERROR!'
37.1605 	EXP 	error_text: autoDraw = False
37.1678 	EXP 	blank_text: autoDraw = False
37.6678 	EXP 	isi_blank0: autoDraw = True
37.6879 	EXP 	isi_blank1: autoDraw = True
38.1936 	EXP 	isi_blank1: autoDraw = False
38.2011 	EXP 	isi_blank0: autoDraw = False
38.2011 	EXP 	stimulus_text: height = 0.1
38.2011 	EXP 	stimulus_text: height = 0.1
38.2011 	EXP 	stimulus_text: height = 0.1
38.2011 	EXP 	stimulus_text: text = 9
38.2011 	EXP 	stimulus_text: autoDraw = True
38.2217 	EXP 	blank_text: autoDraw = True
39.3903 	EXP 	New trial (rep=0, index=7): {'stimulus': 8, 'display': 0, 'cor_mag_resp': 'k', 'cor_par_resp': 'd'}
39.3912 	DATA 	Keypress: k
39.4111 	EXP 	blank_text: autoDraw = False
39.4180 	EXP 	stimulus_text: autoDraw = False
39.4180 	EXP 	error_text: text = 'ERROR!'
39.4180 	EXP 	error_text: autoDraw = False
39.9186 	EXP 	isi_blank0: autoDraw = True
39.9392 	EXP 	isi_blank1: autoDraw = True
40.4245 	EXP 	isi_blank1: autoDraw = False
40.4349 	EXP 	isi_blank0: autoDraw = False
40.4349 	EXP 	stimulus_text: height = 0.1
40.4349 	EXP 	stimulus_text: height = 0.1
40.4349 	EXP 	stimulus_text: height = 0.1
40.4349 	EXP 	stimulus_text: text = 8
40.4349 	EXP 	stimulus_text: autoDraw = True
40.4557 	EXP 	blank_text: autoDraw = True
43.1905 	EXP 	New trial (rep=0, index=8): {'stimulus': 3, 'display': 1, 'cor_mag_resp': 'j', 'cor_par_resp': 'd'}
43.1913 	DATA 	Keypress: k
43.2098 	EXP 	blank_text: autoDraw = False
43.2183 	EXP 	stimulus_text: autoDraw = False
43.2183 	EXP 	error_text: text = 'ERROR!'
43.2183 	EXP 	error_text: autoDraw = False
43.7180 	EXP 	isi_blank0: autoDraw = True
43.7383 	EXP 	isi_blank1: autoDraw = True
44.2427 	EXP 	isi_blank1: autoDraw = False
44.2427 	EXP 	stimulus_text: height = 0.1
44.2427 	EXP 	stimulus_text: height = 0.1
44.2427 	EXP 	stimulus_text: height = 0.1
44.2427 	EXP 	stimulus_text: text = 3
44.2516 	EXP 	isi_blank0: autoDraw = False
44.2516 	EXP 	blank_text: autoDraw = True
44.2727 	EXP 	stimulus_text: autoDraw = True
45.8414 	EXP 	New trial (rep=0, index=9): {'stimulus': 2, 'display': 1, 'cor_mag_resp': 'j', 'cor_par_resp': 'f'}
45.8422 	DATA 	Keypress: j
45.8610 	EXP 	stimulus_text: autoDraw = False
45.8610 	EXP 	error_text: text = 'ERROR!'
45.8610 	EXP 	error_text: autoDraw = False
45.8687 	EXP 	blank_text: autoDraw = False
46.3685 	EXP 	isi_blank0: autoDraw = True
46.3890 	EXP 	isi_blank1: autoDraw = True
46.8887 	EXP 	isi_blank1: autoDraw = False
46.8887 	EXP 	stimulus_text: height = 0.1
46.8887 	EXP 	stimulus_text: height = 0.1
46.8887 	EXP 	stimulus_text: height = 0.1
46.8887 	EXP 	stimulus_text: text = 2
46.9012 	EXP 	isi_blank0: autoDraw = False
46.9012 	EXP 	blank_text: autoDraw = True
46.9219 	EXP 	stimulus_text: autoDraw = True
48.2082 	EXP 	New trial (rep=0, index=10): {'stimulus': 1, 'display': 0, 'cor_mag_resp': 'j', 'cor_par_resp': 'd'}
48.2095 	DATA 	Keypress: j
48.2285 	EXP 	stimulus_text: autoDraw = False
48.2285 	EXP 	error_text: text = 'ERROR!'
48.2285 	EXP 	error_text: autoDraw = False
48.2355 	EXP 	blank_text: autoDraw = False
48.7344 	EXP 	isi_blank0: autoDraw = True
48.7543 	EXP 	isi_blank1: autoDraw = True
49.2609 	EXP 	isi_blank1: autoDraw = False
49.2679 	EXP 	isi_blank0: autoDraw = False
49.2679 	EXP 	stimulus_text: height = 0.1
49.2679 	EXP 	stimulus_text: height = 0.1
49.2679 	EXP 	stimulus_text: height = 0.1
49.2679 	EXP 	stimulus_text: text = 1
49.2679 	EXP 	stimulus_text: autoDraw = True
49.2886 	EXP 	blank_text: autoDraw = True
50.2625 	EXP 	New trial (rep=0, index=11): {'stimulus': 3, 'display': 0, 'cor_mag_resp': 'j', 'cor_par_resp': 'd'}
50.2634 	DATA 	Keypress: j
50.2815 	EXP 	blank_text: autoDraw = False
50.2865 	EXP 	stimulus_text: autoDraw = False
50.2865 	EXP 	error_text: text = 'ERROR!'
50.2865 	EXP 	error_text: autoDraw = False
50.7844 	EXP 	isi_blank0: autoDraw = True
50.8049 	EXP 	isi_blank1: autoDraw = True
51.3052 	EXP 	isi_blank1: autoDraw = False
51.3176 	EXP 	isi_blank0: autoDraw = False
51.3176 	EXP 	stimulus_text: height = 0.1
51.3176 	EXP 	stimulus_text: height = 0.1
51.3176 	EXP 	stimulus_text: height = 0.1
51.3176 	EXP 	stimulus_text: text = 3
51.3176 	EXP 	stimulus_text: autoDraw = True
51.3383 	EXP 	blank_text: autoDraw = True
51.9731 	EXP 	New trial (rep=0, index=12): {'stimulus': 6, 'display': 1, 'cor_mag_resp': 'k', 'cor_par_resp': 'd'}
51.9740 	DATA 	Keypress: j
51.9930 	EXP 	blank_text: autoDraw = False
52.0009 	EXP 	stimulus_text: autoDraw = False
52.0009 	EXP 	error_text: text = 'ERROR!'
52.0009 	EXP 	error_text: autoDraw = False
52.5012 	EXP 	isi_blank0: autoDraw = True
52.5216 	EXP 	isi_blank1: autoDraw = True
53.0216 	EXP 	isi_blank1: autoDraw = False
53.0216 	EXP 	stimulus_text: height = 0.1
53.0216 	EXP 	stimulus_text: height = 0.1
53.0216 	EXP 	stimulus_text: height = 0.1
53.0216 	EXP 	stimulus_text: text = 6
53.0343 	EXP 	isi_blank0: autoDraw = False
53.0343 	EXP 	blank_text: autoDraw = True
53.0550 	EXP 	stimulus_text: autoDraw = True
53.8032 	DATA 	Keypress: escape
54.3652 	EXP 	window1: mouseVisible = True
54.4033 	EXP 	window1: mouseVisible = True
