"participant","trial","is_anomaly_trial","anomaly_line_id","selected_line_1","selected_line_2","selected_line_3"
60,3,"True","r0c2_bottom_left","r0c1_bottom_left","r1c1_bottom_right","r0c2_right"
60,4,"False","","r2c0_bottom_right","r1c1_bottom_left","r0c1_bottom_right"
60,5,"False","","r0c3_bottom_right","r2c2_bottom_left","r0c1_bottom_left"
60,6,"False","","r1c0_bottom_left","r2c2_bottom_right","r0c1_bottom_left"
60,7,"False","","r0c3_bottom_left","r0c2_bottom_right","r0c3_bottom_right"
60,8,"False","","r2c3_bottom_left","r1c0_bottom_right","r0c1_right"
60,9,"False","","r2c0_bottom_right","r2c1_bottom_left","r0c2_bottom_left"
60,10,"False","","r2c3_bottom_right","r1c2_bottom_left","r0c2_bottom_left"
60,11,"False","","r1c3_bottom_left","r2c3_bottom_left","r0c0_bottom_right"
60,12,"False","","r1c0_bottom_right","r2c1_bottom_right","r2c0_bottom_right"
60,13,"False","","r1c1_right","r0c2_bottom_left","r1c1_bottom_left"
60,14,"False","","r0c2_bottom_right","r0c1_bottom_left","r0c0_bottom_right"
60,15,"True","r1c1_bottom_left","r2c2_bottom_right","r1c1_bottom_right","r0c2_right"
60,16,"False","","r0c3_bottom_left","r0c3_bottom_right","r0c2_bottom_right"
60,17,"False","","r0c2_bottom_right","r1c2_bottom_left","r2c3_bottom_left"
60,18,"False","","r1c1_bottom_left","r1c1_bottom_right","r1c2_bottom_left"
60,19,"False","","r0c1_bottom_left","r1c1_bottom_left","r2c2_right"
60,20,"False","","r0c2_bottom_left","r1c1_bottom_right","r0c3_bottom_left"
60,21,"True","r1c1_bottom_right","r2c0_right","r1c2_bottom_right","r2c0_bottom_right"
60,22,"True","r1c1_bottom_right","r2c1_bottom_right","r2c1_right","r2c3_bottom_right"
60,23,"False","","r2c1_bottom_left","r1c1_bottom_right","r0c3_bottom_right"
60,24,"False","","r0c2_bottom_right","r1c2_right","r2c2_bottom_left"
60,25,"False","","r0c1_bottom_left","r0c2_bottom_left","r1c1_bottom_right"
60,26,"False","","r0c1_bottom_right","r0c2_bottom_left","r2c1_bottom_right"
60,27,"True","r2c2_right","r2c1_bottom_left","r0c1_bottom_right","r0c2_bottom_left"
60,28,"False","","r1c0_bottom_left","r2c3_bottom_right","r3c0_right"
60,29,"False","","r2c1_bottom_right","r0c2_bottom_left","r0c2_bottom_right"
60,30,"False","","r2c2_bottom_right","r0c3_bottom_left","r0c1_bottom_left"
60,31,"True","r1c1_bottom_right","r1c2_bottom_right","r2c3_bottom_right","r2c0_right"
60,32,"False","","r1c0_bottom_right","r1c2_right","r0c3_bottom_right"
60,33,"False","","r0c1_bottom_left","r0c3_bottom_right","r2c1_right"
60,34,"False","","r1c3_bottom_left","r1c0_bottom_left","r0c1_bottom_right"
60,35,"True","r0c2_bottom_left","r2c2_bottom_right","r1c1_bottom_right","r1c0_bottom_left"
60,36,"False","","r0c3_bottom_right","r1c3_bottom_left","r1c0_bottom_left"
60,37,"True","r1c1_right","r2c0_right","r2c2_bottom_right","r2c3_bottom_right"
60,38,"True","r1c2_bottom_right","r1c0_right","r0c2_bottom_left","r2c0_bottom_right"
60,39,"False","","r0c2_bottom_left","r2c3_bottom_right","r2c2_bottom_left"
60,40,"False","","r0c1_bottom_left","r0c3_bottom_right","r1c2_right"
60,41,"False","","r2c0_bottom_right","r1c0_right","r0c2_bottom_left"
60,42,"False","","r1c1_bottom_right","r2c0_right","r1c0_bottom_left"
60,43,"True","r1c2_bottom_right","r2c1_bottom_left","r0c1_bottom_right","r1c2_bottom_left"
60,44,"True","r1c1_right","r1c2_bottom_left","r2c3_bottom_left","r0c2_right"
60,45,"True","r1c1_right","r0c2_bottom_left","r1c1_bottom_left","r1c2_bottom_right"
60,46,"False","","r2c2_bottom_right","r0c1_bottom_right","r2c0_right"
60,47,"True","r1c1_bottom_left","r2c1_bottom_left","r0c2_right","r1c2_right"
60,48,"True","r2c2_right","r0c3_bottom_left","r1c0_bottom_left","r0c0_bottom_right"
60,49,"False","","r0c2_bottom_right","r1c2_right","r1c1_bottom_right"
60,50,"False","","r2c1_bottom_right","r1c1_bottom_left","r0c0_right"
60,51,"False","","r1c1_bottom_left","r1c0_bottom_right","r1c0_right"
60,52,"False","","r2c2_bottom_right","r1c0_bottom_right","r1c0_right"
60,53,"True","r1c0_bottom_right","r2c1_bottom_left","r0c1_bottom_right","r0c0_right"
60,54,"False","","r0c0_right","r1c1_bottom_left","r2c0_bottom_right"
60,55,"False","","r0c2_bottom_left","r0c0_bottom_right","r2c2_bottom_right"
60,56,"True","r1c0_bottom_right","r2c1_bottom_left","r2c2_bottom_right","r2c0_bottom_right"
60,57,"False","","r1c1_bottom_right","r0c1_right","r1c0_bottom_right"
60,58,"False","","r2c2_bottom_left","r1c0_bottom_right","r0c1_bottom_left"
60,59,"False","","r2c0_bottom_right","r2c1_bottom_left","r0c1_bottom_right"
60,60,"False","","r1c0_bottom_right","r2c0_bottom_right","r0c0_bottom_right"
60,61,"False","","r1c1_right","r0c0_bottom_right","r0c2_bottom_left"
60,62,"False","","r2c1_bottom_right","r0c0_bottom_right","r0c0_right"
60,63,"False","","r0c3_bottom_right","r2c1_bottom_left","r2c1_right"
60,64,"True","r2c2_right","r2c2_bottom_left","r2c1_bottom_right","r1c3_bottom_left"
60,65,"False","","r2c1_bottom_right","r1c0_bottom_left","r0c2_bottom_right"
60,66,"False","","r0c2_bottom_right","r0c0_right","r0c3_bottom_right"
60,67,"False","","r2c2_bottom_left","r0c1_bottom_left","r0c1_right"
60,68,"True","r1c1_right","r0c1_bottom_left","r1c1_bottom_right","r0c0_right"
60,69,"False","","r2c2_bottom_left","r1c1_bottom_left","r2c3_bottom_right"
60,70,"True","r2c1_bottom_right","r2c2_bottom_right","r3c2_right","r0c0_bottom_right"
60,71,"False","","r0c1_bottom_right","r1c0_right","r2c3_bottom_right"
60,72,"False","","r2c3_bottom_left","r0c1_bottom_left","r1c3_bottom_left"
60,73,"False","","r2c3_bottom_right","r2c1_bottom_left","r1c0_bottom_left"
60,74,"True","r1c2_bottom_right","r0c2_bottom_right","r2c3_bottom_left","r0c3_bottom_left"
60,75,"False","","r2c1_bottom_left","r0c2_bottom_right","r2c0_right"
60,76,"True","r1c1_bottom_right","r2c2_bottom_right","r1c2_right","r1c2_bottom_right"
60,77,"True","r2c1_right","r1c0_bottom_left","r2c1_bottom_left","r2c2_right"
60,78,"False","","r0c1_bottom_right","r0c1_right","r0c0_right"
60,79,"True","r0c2_bottom_right","r2c2_bottom_right","r1c2_bottom_left","r0c3_bottom_right"
60,80,"False","","r1c0_right","r0c1_bottom_left","r2c0_bottom_right"
60,81,"False","","r0c3_bottom_right","r1c0_bottom_right","r1c1_bottom_left"
60,82,"False","","r2c3_bottom_right","r2c1_bottom_left","r0c1_bottom_right"
60,83,"False","","r1c2_bottom_right","r1c2_bottom_left","r0c0_bottom_right"
60,84,"False","","r1c2_bottom_right","r0c2_bottom_left","r0c1_bottom_left"
60,85,"False","","r2c3_bottom_left","r2c0_right","r0c3_bottom_left"
60,86,"True","r2c2_right","r1c2_bottom_right","r0c3_bottom_left","r2c3_bottom_right"
60,87,"False","","r1c0_right","r2c1_bottom_left","r1c2_bottom_left"
60,88,"False","","r1c2_bottom_left","r0c3_bottom_left","r1c2_bottom_right"
60,89,"False","","r2c3_bottom_right","r1c3_bottom_left","r2c1_right"
60,90,"False","","r3c1_right","r1c2_bottom_left","r0c3_bottom_left"
60,91,"False","","r1c0_bottom_right","r0c2_right","r0c1_right"
60,92,"False","","r1c1_bottom_right","r2c0_right","r2c0_bottom_right"
60,93,"False","","r1c2_bottom_right","r0c1_right","r2c3_bottom_right"
60,94,"False","","r1c1_bottom_right","r3c0_right","r2c2_bottom_left"
60,95,"True","r0c2_bottom_left","r1c0_bottom_right","r2c1_right","r0c1_bottom_left"
60,96,"True","r2c1_bottom_right","r1c2_bottom_right","r1c1_bottom_right","r0c2_right"
60,97,"False","","r0c0_bottom_right","r1c0_bottom_right","r2c2_bottom_right"
60,98,"False","","r0c0_bottom_right","r0c2_bottom_left","r0c3_bottom_left"
60,99,"False","","r2c1_bottom_right","r2c2_bottom_left","r1c2_bottom_left"
61,0,"False","","r2c0_bottom_right","r1c0_bottom_right","r0c1_bottom_right"
61,1,"True","r1c1_bottom_left","r0c0_right","r0c2_bottom_left","r1c2_bottom_right"
61,2,"False","","r1c2_bottom_left","r1c0_bottom_right","r0c2_bottom_left"
61,3,"False","","r0c2_bottom_right","r2c2_bottom_left","r1c0_bottom_left"
61,4,"True","r1c1_bottom_right","r1c1_bottom_left","r2c1_bottom_left","r0c3_bottom_right"
61,5,"False","","r0c3_bottom_right","r2c1_bottom_right","r1c1_bottom_right"
61,6,"False","","r0c0_bottom_right","r1c0_bottom_left","r1c2_bottom_right"
61,7,"True","r2c2_right","r0c2_bottom_left","r1c0_bottom_left","r0c3_bottom_right"
61,8,"False","","r2c3_bottom_left","r0c2_bottom_left","r0c0_bottom_right"
61,9,"True","r1c1_bottom_right","r3c1_right","r2c3_bottom_left","r1c2_bottom_left"
61,10,"False","","r2c2_bottom_right","r1c1_bottom_left","r2c3_bottom_right"
61,11,"False","","r1c0_bottom_right","r0c2_bottom_right","r2c2_bottom_left"
61,12,"True","r2c2_bottom_right","r1c3_bottom_left","r2c3_bottom_right","r0c3_bottom_right"
61,13,"True","r1c1_bottom_right","r1c0_bottom_left","r2c1_bottom_right","r1c2_bottom_left"
61,14,"False","","r0c2_right","r1c0_bottom_right","r2c3_bottom_left"
61,15,"False","","r0c1_bottom_right","r1c2_right","r2c1_right"
61,16,"False","","r1c0_right","r1c1_bottom_right","r1c2_bottom_left"
61,17,"False","","r0c1_bottom_right","r1c3_bottom_left","r1c1_bottom_left"
61,18,"False","","r2c1_bottom_left","r2c1_bottom_right","r1c1_right"
61,19,"True","r0c1_bottom_right","r1c2_right","r1c3_bottom_left","r1c1_right"
61,20,"False","","r1c1_bottom_left","r1c3_bottom_left","r2c3_bottom_right"
61,21,"False","","r1c1_right","r0c2_bottom_right","r1c0_bottom_right"
61,22,"True","r2c2_bottom_right","r2c3_bottom_right","r1c2_bottom_left","r0c2_bottom_left"
61,23,"False","","r1c3_bottom_left","r1c0_bottom_right","r2c2_bottom_left"
61,24,"True","r1c1_bottom_left","r0c1_bottom_left","r0c2_bottom_left","r2c1_bottom_right"
61,25,"False","","r1c1_bottom_right","r0c0_right","r2c0_bottom_right"
61,26,"True","r2c2_bottom_left","r2c0_bottom_right","r2c3_bottom_left","r0c3_bottom_left"
61,27,"True","r1c0_right","r1c0_bottom_right","r0c3_bottom_left","r1c2_bottom_left"
61,28,"True","r0c1_bottom_right","r0c2_bottom_right","r1c0_bottom_right","r2c2_right"
61,29,"False","","r1c2_bottom_right","r2c3_bottom_left","r1c0_bottom_right"
61,30,"False","","r2c0_right","r2c1_right","r2c2_right"
61,31,"False","","r2c2_bottom_left","r0c3_bottom_left","r1c0_right"
61,32,"False","","r2c2_bottom_right","r0c0_bottom_right","r1c1_bottom_left"
61,33,"False","","r1c1_bottom_left","r0c0_bottom_right","r0c2_bottom_left"
61,34,"True","r1c1_bottom_right","r2c1_bottom_right","r0c0_bottom_right","r1c0_bottom_left"
61,35,"True","r0c2_bottom_left","r1c1_bottom_right","r2c2_bottom_left","r0c1_bottom_left"
61,36,"False","","r1c2_bottom_left","r1c1_bottom_right","r0c1_bottom_left"
61,37,"False","","r1c2_bottom_right","r1c3_bottom_left","r0c2_bottom_right"
61,38,"True","r1c0_right","r0c3_bottom_right","r1c3_bottom_left","r2c0_bottom_right"
61,39,"False","","r0c1_bottom_left","r1c0_bottom_left","r2c3_bottom_left"
61,40,"True","r1c2_bottom_right","r1c2_bottom_left","r1c0_bottom_left","r2c0_bottom_right"
61,41,"False","","r1c2_bottom_right","r0c2_bottom_left","r2c3_bottom_right"
61,42,"True","r2c2_bottom_right","r0c3_bottom_left","r0c1_bottom_left","r2c3_bottom_right"
61,43,"False","","r0c2_bottom_left","r1c1_bottom_left","r2c1_bottom_left"
61,44,"False","","r0c2_right","r0c1_bottom_right","r0c1_bottom_left"
61,45,"False","","r1c2_bottom_right","r1c0_right","r2c0_bottom_right"
61,46,"False","","r1c0_bottom_right","r2c2_right","r2c3_bottom_right"
61,47,"False","","r1c0_bottom_left","r0c2_bottom_right","r1c1_bottom_right"
61,48,"True","r2c2_bottom_left","r1c1_bottom_left","r0c2_bottom_left","r1c3_bottom_left"
61,49,"True","r1c1_right","r0c1_bottom_right","r1c2_bottom_left","r1c3_bottom_left"
61,50,"True","r1c2_bottom_left","r1c1_bottom_right","r1c3_bottom_left","r2c2_bottom_left"
61,51,"True","r2c2_right","r1c2_bottom_left","r2c1_bottom_left","r0c3_bottom_left"
61,52,"False","","r2c0_right","r1c0_bottom_right","r2c3_bottom_right"
61,53,"True","r2c2_bottom_right","r2c3_bottom_left","r0c1_bottom_right","r2c0_right"
61,54,"False","","r1c2_bottom_left","r2c2_bottom_left","r2c1_bottom_right"
61,55,"False","","r1c2_bottom_right","r0c3_bottom_left","r0c0_bottom_right"
61,56,"False","","r2c3_bottom_right","r1c3_bottom_left","r1c2_bottom_left"
61,57,"False","","r2c1_right","r1c0_bottom_right","r0c0_bottom_right"
61,58,"False","","r2c3_bottom_right","r1c2_bottom_right","r0c3_bottom_left"
61,59,"False","","r1c2_bottom_left","r0c2_bottom_right","r2c1_bottom_left"
61,60,"False","","r1c1_bottom_left","r0c3_bottom_left","r2c1_bottom_right"
61,61,"False","","r2c0_bottom_right","r0c3_bottom_right","r0c2_bottom_right"
61,62,"True","r2c2_right","r1c1_bottom_right","r1c0_bottom_left","r2c2_bottom_right"
61,63,"True","r2c2_bottom_right","r1c2_bottom_right","r2c2_bottom_left","r1c0_bottom_right"
61,64,"False","","r1c2_bottom_right","r0c3_bottom_left","r0c1_bottom_left"
61,65,"True","r2c2_right","r0c3_bottom_right","r1c0_bottom_left","r2c3_bottom_left"
61,66,"False","","r0c0_bottom_right","r1c0_bottom_right","r0c2_right"
61,67,"False","","r1c1_bottom_right","r1c1_bottom_left","r0c2_bottom_left"
61,68,"False","","r2c1_bottom_left","r2c0_right","r1c2_bottom_left"
61,69,"False","","r2c3_bottom_right","r2c1_bottom_right","r2c0_bottom_right"
61,70,"False","","r1c2_bottom_left","r0c3_bottom_right","r1c0_bottom_left"
61,71,"False","","r1c2_bottom_left","r1c1_right","r3c0_right"
61,72,"False","","r1c2_bottom_right","r1c2_right","r2c0_right"
61,73,"True","r1c1_bottom_left","r1c0_bottom_left","r3c2_right","r0c2_bottom_left"
61,74,"False","","r2c2_bottom_left","r2c3_bottom_right","r1c0_bottom_left"
61,75,"True","r1c1_bottom_right","r1c3_bottom_left","r0c3_bottom_right","r1c0_bottom_left"
61,76,"True","r1c0_right","r2c3_bottom_right","r1c0_bottom_right","r2c1_bottom_right"
61,77,"True","r2c2_right","r1c2_bottom_left","r0c0_bottom_right","r0c3_bottom_right"
61,78,"True","r0c1_bottom_right","r1c0_bottom_left","r2c2_bottom_right","r2c3_bottom_right"
61,79,"False","","r0c2_bottom_left","r3c1_right","r2c2_bottom_right"
61,80,"True","r1c0_bottom_right","r2c1_bottom_left","r2c2_bottom_right","r1c2_bottom_left"
61,81,"False","","r1c1_right","r0c1_bottom_left","r1c0_bottom_right"
61,82,"False","","r3c1_right","r0c3_bottom_left","r0c1_bottom_left"
61,83,"False","","r1c1_bottom_left","r2c1_bottom_right","r2c2_right"
61,84,"False","","r1c2_bottom_left","r1c2_right","r2c2_bottom_left"
61,85,"False","","r0c2_bottom_left","r1c0_bottom_left","r0c2_bottom_right"
61,86,"False","","r1c2_bottom_left","r1c0_bottom_right","r2c1_right"
61,87,"False","","r1c1_bottom_left","r2c2_bottom_right","r0c2_right"
61,88,"False","","r2c2_right","r1c2_bottom_right","r1c2_bottom_left"
61,89,"True","r1c1_right","r2c1_bottom_left","r0c3_bottom_right","r1c3_bottom_left"
61,90,"True","r2c2_right","r2c1_bottom_right","r1c0_bottom_right","r0c3_bottom_right"
61,91,"True","r2c2_bottom_left","r1c1_bottom_left","r1c3_bottom_left","r2c3_bottom_left"
61,92,"True","r2c2_right","r2c2_bottom_right","r0c2_bottom_right","r0c1_bottom_left"
61,93,"False","","r1c2_bottom_right","r0c2_bottom_right","r0c0_bottom_right"
61,94,"False","","r1c2_bottom_left","r2c2_bottom_right","r1c0_bottom_right"
61,95,"False","","r1c3_bottom_left","r2c3_bottom_left","r2c2_right"
61,96,"False","","r1c2_bottom_right","r2c3_bottom_right","r1c0_bottom_right"
61,97,"False","","r1c2_bottom_left","r2c1_right","r2c0_bottom_right"
61,98,"False","","r2c2_right","r2c2_bottom_left","r2c0_bottom_right"
61,99,"True","r2c2_bottom_left","r1c2_right","r1c2_bottom_left","r0c2_bottom_right"
62,0,"False","","r0c2_bottom_left","r0c3_bottom_right","r2c3_bottom_right"
62,1,"True","r2c2_bottom_left","r0c2_bottom_right","r0c2_right","r2c3_bottom_left"
62,2,"False","","r0c1_bottom_left","r2c1_right","r1c1_bottom_right"
62,3,"True","r0c2_bottom_right","r0c0_bottom_right","r1c2_right","r0c2_right"
62,4,"True","r1c1_bottom_left","r0c2_bottom_right","r2c0_bottom_right","r2c3_bottom_right"
62,5,"False","","r1c2_bottom_left","r0c1_right","r1c3_bottom_left"
62,6,"False","","r1c0_bottom_left","r1c1_bottom_left","r2c0_bottom_right"
62,7,"False","","r0c2_bottom_right","r0c3_bottom_right","r1c3_bottom_left"
62,8,"False","","r0c1_bottom_left","r2c1_bottom_right","r0c3_bottom_left"
62,9,"False","","r1c2_bottom_left","r0c3_bottom_right","r1c2_bottom_right"
62,10,"True","r2c1_bottom_right","r2c2_bottom_right","r1c0_bottom_left","r0c2_bottom_right"
62,11,"False","","r2c3_bottom_right","r2c0_bottom_right","r0c1_bottom_right"
62,12,"True","r2c2_right","r1c1_bottom_right","r0c1_bottom_left","r0c0_bottom_right"
